2758	See Afro-Latin American, though I would personally merge that artiucle and this one,	Podívejme se na Afro - Latinskou Ameriku , I když bych osobně spojil tuhle a tuhle ,	[0, 0, 1]	NOT
9878	It's not terribly useful anyway as it only shows the first bar of the break. (The rhythm changes near the end of the break.)	Stejně to není moc užitečné , protože ukazuje pouze první čáru přestávky . ( Ritmus se mění blízko konce přestávky . )	[0, 0, 0]	NOT
7711	You have also flagged my reversion of your edit as vandalism. I must protest this, as your change adds weasel words.	Také jste označili mou změnu vaší úpravy jako vandalismus . Musím proti tomu protestovat , protože vaše změna doplňuje ošklivé slova .	[0, 0, 1]	NOT
9525	But who verifies the sources, references does not stand up if they are not credited.	Ale kdo ověřuje zdroje , odkazy nevystávají , pokud nejsou připisovány .	[0, 0, 0]	NOT
5286	And the first one said to ther second one - I hope you are having fun ... ohohho, yes	A ten první řekl druhému - Doufám , že se bavíš . . . ohohho , ano	[0, 0, 0]	NOT
6718	Europid is a synonym for Caucasian. Please stop reverting this as it will lead to a block if you continue.	Europid je synonymem Kavkazského jazyka . Prosím přestaňte to opakovat , protože bude mít za následek blok , pokud budete pokračovat .	[0, 1, 0]	NOT
9126	does morons like you got a place here? If no, be pleased to leave this grateful place.	Jestli ne , potěšíte se opustit tohle vděčné místo .	[0, 1, 1]	ERR
8914	Quit fooling around chatting and get onto Book TV (C-Span II) and catch the last half of Noam Chomsky's interview ;	Přestaňte se pohádat a dostat se na Book TV ( C - Span II ) a chytit poslední polovinu Noam Chomskyho rozhovoru ;	[0, 0, 0]	NOT
4796	If you honestly find the KJV so hard to read, I would have to consider you barely fluent in English. :	Pokud si upřímně myslíte , že KJV je tak těžké číst , musel bych vás považovat za sotva plynulé v angličtině . :	[0, 0, 0]	NOT
9497	we got a smart aleck here do we well i'm gonna have to fix that	Máme tady chytrý blbec , musíme to napravit .	[0, 0, 0]	NOT
4049	No shit I live in Bardstown, KY. Is that supposed to fucking scare me? That you know how to use an IP search? Eat dick, faggot.	Žádná sračka , bydlím v Bardstownu , KY . To by mě mělo kurva vyděsit ? Že víš , jak používat IP vyhledávání ?	[1, 1, 1]	ERR
8632	It might have too much information now, some liberal deletions may be in order.	Může mít teď příliš mnoho informací , některé liberální vymazání by mohly být v pořádku .	[0, 0, 0]	NOT
8722	We already have and a portal, we're already halfway there.	Už máme a portál , už jsme tam na půli cesty .	[0, 0, 0]	NOT
9879	Link titleMedia:Example.oggInsert non-formatted text hereMedia:Example.ogg == Headline text == link titleItalic textBold text	Odkaz na názevMedia : Example . oggVložte zde neformatovaný textMedia : Example . ogg == Text hlavního řádku == Odkaz na názevItalský textBold text	[0, 1, 1]	ERR
6195	No bright derrière I’am not, I referred to the article in wikipedia.	Žádný jasný za mnou nejsem , odkazoval jsem na článek v wikipedia .	[0, 0, 0]	NOT
8225	United States class=Stub importance=low}} {{WikiProject	Spojené státy class=Stub importance=low } } { { WikiProject	[0, 0, 0]	NOT
3871	The 'Security Features' reference in the infobox says nothing about the scurity features. Please fix that.	Odkaz na funkce zabezpečení v infoboxu nic neříká o funkcích zabezpečení . Opravte to prosím .	[0, 0, 0]	NOT
6474	To provide clarification, what is your professional designation and scientific credentilals?	Chcete - li poskytnout vysvětlení , jaká je vaše profesní označení a vědecké creentilals ?	[0, 0, 1]	NOT
4761	Hello I'm trying to find a way to respond or get more info. for the pug puppy! Hopefully the owner still has it and will contact me soon.	Ahoj Snažím se najít způsob , jak reagovat nebo získat více informací . pro štěňátko ! Doufám , že majitel stále má to a brzy se se mnou spojí .	[0, 1, 0]	NOT
9876	Oh, and if anyone finds any let me know, I'm still struggling to find any decent Christmas presents and an elf would be a great one for the kids.	A jestli někdo něco najde , dej mi vědět , pořád se snažím najít slušné vánoční dárky a elf by byl skvělý pro děti .	[0, 0, 0]	NOT
258	Since I received no explanation after a week I added the edit back to 209radio. It has not been changed again suggesting that I was correct.	Vzhledem k tomu , že jsem neobdržel žádné vysvětlení po týdnu jsem přidal edit zpět na 209radio . Nebylo změněno znovu naznačující , že jsem měl pravdu .	[0, 0, 0]	NOT
2504	The on United Kingdom general election, 2005 and Next United Kingdom general election are being used as a test cases. Please don't remove them.	Na všeobecné volby Spojeného království , 2005 a příští všeobecné volby Spojeného království jsou použity jako test případů . Prosím , nenechte je odstranit .	[0, 0, 0]	NOT
9909	Matrinvl, can you provide a source which makes this link? Otherwise it is original research, or a synthesis.	Matrinvl , můžete poskytnout zdroj , který dělá tento odkaz ? Jinak je to originální výzkum , nebo syntéza .	[0, 0, 0]	NOT
8714	Shane, how long do you wish to keep my user page locked? Its been several days now. Is that also policy?	Shane , jak dlouho si přejete udržet moji uživatelskou stránku zamčenou ? Už je to několik dní . Je to také zásada ?	[0, 0, 0]	NOT
7237	Do not attack users who cooperate in contributing to wiki articles.	Nezaútočte na uživatele , kteří spolupracují při přispění k wiki článkům .	[0, 0, 0]	NOT
9469	If you want to continue being as uncivil, that is up to you. I already made a report on you to administrators. Have fune Antaeus.	Jestli chceš pokračovat v tom , že jsi tak necivilizovaný , to je na tobě . Už jsem o tobě podal zprávu správcům .	[1, 0, 1]	ERR
3169	Labeling Alex Jones as a paleoConservative is absolute nonesense, please get a grip on REAL ity	Labeling Alex Jones jako paleoConservative je absolutní nesmysl , prosím , chyťte se na REAL ity	[0, 1, 1]	ERR
4550	wouldn't YOU be better off with plastic surgery? I've seen your picture, and I think you would. ;) *	Nebylo by ti líp na chirurgii ? Viděl jsem tvůj obrázek a myslím , že bys měl . ; ) *	[1, 0, 0]	NOT
3778	David Hayter page It seems you put down David Hayter's religion as Jewish. Do you have a source to confirm this? Thanks.	Zdá se , že jste Davida Haytera zapsal jako Žida . Máte zdroj , který to potvrdí ?	[0, 0, 0]	NOT
429	PhilippaC...It is our right to protect the content on wikipedia. I suggest you have a look at the following: [URL] ijcartwright	PhilippaC . . . Je to naše právo chránit obsah na wikipedia . Doporučuji , abyste se podívali na následující : [ URL ] ijcartwright	[0, 0, 0]	NOT
8124	Dear anonymus user/or ' sockpuppet! I do not have a mood with you to argue. Look for new friends for yourself there: or . •	Drahý anonymní uživatel / nebo ' sockpuppet ! Nemám náladu s vámi hádat . Podívejte se na nové přátele pro sebe tam : nebo . •	[0, 0, 0]	NOT
4107	is tons better than some of Nickelodeon's new shows like Fan Boy and Chum Chum, Robot and Monster, and TUFF Puppy. Penguins is pretty good though.	je mnohem lepší než některé z Nickelodeonových nových pořadů jako Fan Boy a Chum Chum , Robot a Monster , a TUFF Puppy . Penguins je docela dobrý , ale .	[0, 0, 1]	NOT
7984	Oppose. The definite article is part of the name Flawed reasoning for move.	Proti . Určitý článek je součástí názvu Špatné odůvodnění pro přesun .	[0, 0, 0]	NOT
5365	Just remember, Google is not the 'end all and be all' of research. As for topic at hand, I'm bowing out of this conversation.	"Jen si pamatujte , Google není "" koncem vše a být vše "" výzkumu . Co se týče tématu v ruce , jsem se odklonil z této konverzace ."	[0, 0, 0]	NOT
8725	Reverted some strange changes and wholesale deletion of all links by an unregistered user on Nov 9, 2006. Thanks.	Odvrátil některé zvláštní změny a velkoobchodní vymazání všech odkazů neregistrovaným uživatelem dne 9 . listopadu 2006 . Díky .	[0, 0, 0]	NOT
6085	Ummm... you are very narcisistic. You wrote an article about yourself.	Jsi velmi narcistická , napsala jsi článek o sobě .	[0, 0, 0]	NOT
855	By the way, if anybody needs any evidence of Servs belonging to the Serving cast of the Slavic tribes: [URL]	Mimochodem , pokud někdo potřebuje jakékoliv důkazy o Servech patřících k posádkovému rodu slavských kmenů : [ URL ]	[1, 1, 1]	ERR
7576	Volksklunde is a complete field of research about our topics with international acknowldegement. No consensus.	Volksklunde je kompletní oblast výzkumu o našich tématech s mezinárodním uznáním . Žádný konsensus .	[0, 0, 0]	NOT
5852	De-registration of BusesDe-registration of buses	De - registrace autobusůDe - registrace autobusů	[0, 0, 0]	NOT
4758	Now that it's 2010, Cadillac must now be the oldest surviving brand name of American cars. Is this right??	Teď , když je 2010 , Cadillac musí být nyní nejstarší přeživší značku amerických automobilů . Je to správně ? ?	[0, 0, 0]	NOT
8283	I didn't attempt to harass others, I actually did!, so fuck YO!	Já jsem se nepokoušel otravovat ostatní , opravdu jsem to udělal ! , tak kurva YO !	[0, 0, 0]	NOT
5832	If only Swedish wiki claims so, then it is regular swedish propoganda. This battle was clearly a russian victory.	Pokud jen Švédské wiki tvrdí , že , pak je to pravidelná švédská propoganda . Tato bitva byla jasně ruská vítězství .	[0, 0, 0]	NOT
9943	For instance, I'm experiencing hard troubles when opening and editing this overloaded page, which I'm sure is the case with many other users of WP.	Například , cítím těžké potíže při otevírání a editaci této přetížené stránky , což jsem si jistý , že je to případ s mnoha dalšími uživateli WP .	[0, 0, 0]	NOT
7254	Fused Cell Games Fused Cell Games is a company owned by a team of amature engineers with the skills to make Apples Keynote Games. [URL]	Fused Cell Games Fused Cell Games je společnost v vlastnictví týmu amature inženýrů s dovednostmi , aby Apples Keynote hry . [ URL ]	[0, 0, 0]	NOT
6559	I think this rather uncivil abrogation of your admin duties should remain here as a warning to others!	Domnívám se , že toto spíše necivilizované zrušení vašich správních povinností by zde mělo zůstat jako varování ostatním !	[0, 0, 0]	NOT
1607	i have a lot of photos i own of her how do i change it	Mám spoustu fotek , které jí vlastním , jak to mám změnit	[0, 0, 0]	NOT
2330	Insisting on a broken layout because you spent a lot of time on it isn't constructive.	Trvat na rozbitém plánu , protože jsi na něm strávil spoustu času , není konstruktivní .	[0, 0, 0]	NOT
2417	Essjay is identified as the individual wearing the orange to the right.	Essjay je identifikován jako osoba , která má napravo oranžovou barvu .	[0, 0, 0]	NOT
6309	user:Precious Roy, stop posting on my talk page and GO AWAY!! you are not welcome here! contact Flo with any questions stop harassing.	uživatel : Precious Roy , přestaň psát na mém diskusním webu a Běž pryč ! ! nejsi tu vítán ! kontakt Flo s jakýmkoliv dotazem přestaň obtěžovat .	[0, 0, 0]	NOT
4273	Please avoid turning this article into a promotional piece for the show.	Prosím , vyhněte se přeměně tohoto článku na propagační dílo pro výstavu .	[0, 0, 0]	NOT
5810	The matter seems to be settled. Please add under External links: * [[URL] Taliban's website (English)] (source: [9])	Zdá se , že záležitost je vyřešena . Přidejte prosím pod Externí odkazy : * [ [ URL ] Taliban ' s website ( Angličtina ) ] ( zdroj : [ 9 ] )	[0, 0, 1]	NOT
2913	What AC added does not follow the source and is clearly twisted,	To , co AC přidal , nesleduje zdroj a je jasně zkrouceno ,	[0, 0, 0]	NOT
1313	It takes 8 years to get 4,6, and 8 year graduation rates. As such 8 years isn't old in this case.	Trvá 8 let získat 4 , 6 , a 8 let absolventů sazby . Jako takové 8 let není starý v tomto případě .	[0, 0, 0]	NOT
4115	Hi to both! I found the problem and I fixed both issues. I hope now you are both happy!	Ahoj na obou ! Našel jsem problém a opravil jsem oba problémy . Doufám , že teď jste oba šťastní !	[0, 0, 0]	NOT
2410	subject where your effort will be useful and well received	předmětem , kde vaše úsilí bude užitečné a dobře přijaté	[0, 0, 0]	NOT
8182	but in google translate it translated as dji dzu, dumbass!	ale v Googlu přeložit to přeloženo jako dji dzu , blbec !	[0, 0, 0]	NOT
452	REDIRECT Talk:168th Infantry Regiment (United States)	REDIRECT Rozprava : 168 . pěší pluk ( Spojené státy )	[0, 0, 0]	NOT
432	That's it, you fucking pig. You spread your propaganda too much. You made this article your own imagination.	To je ono , ty zasranej prase , rozšířil jsi svou propagandu příliš , udělal sis tenhle článek svou vlastní představivost .	[0, 0, 0]	NOT
3265	IT WAS BROUGHT TO MY ATTENTION THIS PERSON DIED ON NOVEMBER 19, HE WAS DEAD AT 6PM, CAN WE PUT IN PARENTHESIS OR?	Bylo mi jasné , že tahle osoba zemřela 19 . listopadu , zemřela v šest hodin , můžeme ji dát do pořádku nebo ne ?	[1, 1, 1]	ERR
1936	But I agree that the established name of this site is Sibbesborg.	Souhlasím však s tím , že zavedené jméno této lokality je Sibbesborg .	[0, 0, 0]	NOT
5179	What annoys me is that stuff about us gets posted and we may not know about it. Can someone ping me next time this happens?	Co mě otravuje je to , že věci o nás dostane zveřejněno a my možná o tom nevíme . Může někdo ping mě příště , když se to stane ?	[1, 0, 0]	NOT
4472	Or... perhaps its just better to omit this altogether?	Nebo . . . možná by bylo lepší to úplně vynechat ?	[0, 0, 0]	NOT
2297	I added mention of the whole 12:01 series in the see-also section of the groundhog day article.	Přidal jsem zmínku o celém pořadu 12 : 01 v též části článku o denní trávě .	[1, 1, 1]	ERR
7065	Once again, you are blocking one user while assuming somehowit appearsthat he is another user.	Znovu blokujete jednoho uživatele , zatímco předpokládáte , že se nějak objeví , že je to jiný uživatel .	[0, 0, 0]	NOT
6329	lol, do I look like I care if you give me a couple more medals? o.O	Zdá se mi , že je mi jedno , jestli mi dáš ještě pár medailí ?	[0, 0, 0]	NOT
5581	I dont have money to do a research of you, stay away	Nemám peníze na to , abych se na tebe podíval , zůstaň dál .	[0, 0, 1]	NOT
1137	I am going to make a good-faith assumption that you can reply to my request before you make any other contributions to Wikipedia.	Udělám dobrověrnou předpokladu , že můžete odpovědět na mou žádost dříve , než uděláte jakýkoliv jiný příspěvek na Wikipedii .	[0, 0, 0]	NOT
534	Hold on a second. This is an insane definition of vandalism. I am trying to add content that i fell is legitimate.	Počkejte chvilku , tohle je šílená definice vandalismu . Snažím se přidat obsah , který jsem spadl , je legitimní .	[0, 2, 0]	NOT
9512	A topic on the war sounds like a good idea Francis, I'll begin working on that article very soon	Téma o válce zní jako dobrá myšlenka Francisi , brzy na ní začnu pracovat .	[0, 0, 0]	NOT
2017	I am providing the reliable source but no one is trying to change it. [URL]	Poskytuji spolehlivý zdroj , ale nikdo se ho nepokouší změnit . [ URL ]	[0, 0, 0]	NOT
3739	That was a lot of hours ago. And has no connection with my sense of humor, or your lack of it.	To bylo před mnoha hodinami a nemá žádnou souvislost s mým smyslem pro humor nebo s tvým nedostatkem .	[0, 0, 0]	NOT
7624	These people's bias and lack of ethics justifies the name calling.	Předsudky těchto lidí a nedostatek etiky opravňují k tomu , aby se jmenovali .	[1, 0, 1]	ERR
2218	Good Point, we should really wait to post the English list until we know for sure	Dobrá poznámka , měli bychom opravdu počkat , až dáme najevo anglický seznam , dokud nebudeme vědět jistě .	[1, 0, 0]	NOT
5219	Why are there periods after each item on the timeline? They aren't complete sentences. Sorry, its bugging me, but maybe its correct the way it is...	Proč jsou v časovém řádku po každém prvku periody ? Nejsou to úplné věty . Promiňte , že mě to štve , ale možná je to tak správně . . .	[0, 1, 0]	NOT
9861	That complaint has nothing to do with what we are discussing here.	Tato stížnost nemá nic společného s tím , o čem zde diskutujeme .	[0, 0, 0]	NOT
5534	I hate armenia and all your dumb allies you don't deserve to live. Can't wait till we can kill you guys again )	Nenávidím armenii a všechny tvé hloupé spojence , které si nezasloužíš žít .	[0, 1, 1]	ERR
7916	You sir have no life, you sped all your time editing on wikipedia. Ya I bet that gets you lots of chicks.	Pane , nemáte život , vy jste zrychlil celý svůj čas editace na wikipedia . Ya vsadím se , že dostanete spoustu děvek .	[1, 1, 1]	ERR
6304	William S. Schaill The original author removed the prod tag, I've listed it for afd.	William S . Schaill Původní autor odstranil značku prod , našel jsem ji pro afd .	[0, 0, 0]	NOT
5700	I've blocked Lou for a week for disruption and vandalism. —	Zablokoval jsem Loua týden kvůli narušení a vandalismu . -	[0, 0, 0]	NOT
4648	the only place where your version is better is in the sections, but that's not the most important part	jediné místo , kde je vaše verze lepší , je v sekci , ale to není nejdůležitější část	[0, 0, 0]	NOT
2897	Your Edit to Cynthia Voigt If you feel this was reported wrongly, or want to discuss this, please post any messages here []	Vaše Edit to Cynthia Voigt Máte - li pocit , že jste o tom špatně informovali , nebo o tom chcete diskutovat , zadejte prosím jakékoli zprávy zde [ ]	[0, 0, 1]	NOT
6189	fix the simon palomares page, the image is totally out of proportion and awkwardly placed.	opravit simon palomares stránky , obrázek je zcela mimo poměr a nepříjemně umístěn .	[0, 0, 1]	NOT
7748	Lundo Martens is not considered an expert on this topic. Who told you that? Cheers.	Lundo Martens není považován za expert na toto téma . Kdo vám to řekl ?	[0, 0, 0]	NOT
9319	DA's changes seem reasonable to me. Is that what you are asking?	Změny DA jsou pro mě rozumné , to se ptáš ?	[0, 0, 0]	NOT
9901	I NEVER said I was being civil right now on my discussion page. YOU ARE VANDALIZING, DELETING EVERYTHING I WRITE ON THE NASH PAGE. hganesan	Nikdy jsem neřekl , že jsem civilní právě teď na mé diskusní stránce . Jste VANDALIZING , smazat všechno , co jsem napsal na NASH PAGE . hganesan	[0, 0, 0]	NOT
5498	it seems they do officially but in practice it is a joke	zdá se , že to dělají oficiálně , ale v praxi je to vtip	[0, 0, 0]	NOT
2801	im not trying to be rude but this page is really only for personal attacks. i answered on the talk page	Im se nesnaží být hrubý , ale tato stránka je opravdu jen pro osobní útoky . Odpověděl jsem na stránce rozhovoru	[0, 0, 1]	NOT
1835	I don't know anything about standard systems for transliteration - I only make it as I go along...	Nevím nic o standardních systémech pro transliteraci - dělám to jen tak , jak to dělám . . .	[0, 0, 0]	NOT
8187	List of Alberta general electionsList of Alberta general elections]] **[[User talk:117Avenue#Princess ElizabethPrincess Elizabeth	Seznam všeobecných voleb v Albertě Seznam všeobecných voleb v Albertě ] ] ** [ [ Poslušný rozhovor : 117Avenue#Princess ElizabethPrincess Elizabeth	[0, 1, 1]	ERR
8261	He did criticize an execution that he witnessed in a letter, but there is nothing to indicate that he ever renounced Castro. )	Kritizoval popravu , kterou viděl v dopise , ale nic nenaznačuje , že by se Castro kdy vzdal . )	[0, 1, 0]	NOT
248	April 2008 Please do not add nonsense to Wikipedia. It is considered vandalism. If you would like to experiment, use the sandbox. Thank you.	April 2008 Prosím , nepřidejte nonsense do Wikipedie . Je považován za vandalismus . Chcete - li experimentovat , použijte písečnou skříňku . Děkujeme .	[1, 3, 1]	ERR
1340	Fuck off you right wing nazi scum. BTW your crazy religion is a myth.	Do prdele s tebou pravý křídlo nazi scum . BTW tvůj bláznivý náboženství je mýtus .	[1, 0, 1]	ERR
3326	I got a warning and a ban for mentioning it. The term they used was 'personal insult.'	Dostal jsem varování a zákaz zmínit se o tom .	[3, 1, 1]	ERR
2089	It was a leak from a friend of a Nintendo Employee. Reliable? Yes. -	Byl to únik od přítele zaměstnance Nintendo .	[3, 1, 1]	ERR
4724	NO PISS OFF WIKIPEDIA, WHAT YOU GONNA DO ABOUT IT	Žádná ztráta z WIKIPEDIA , co s tím uděláš	[1, 1, 1]	ERR
1669	That is an unfair anology, and you certainally could make your point wihtou typeing that word.	To je nespravedlivá anologie , a určitě bys mohl vyjádřit svůj názor tím , že napíšeš to slovo .	[1, 0, 1]	ERR
6947	obviously I am using fag as similar to lame, try to calm down and be less obsessed with japan, FAG.	Očividně používám fag podobně jako lame , snažím se uklidnit a být méně posedlý Japonskem , FAG .	[0, 1, 1]	ERR
3533	Al Messier This article was a non-notable biography according to the criteria set out in WP:BIO.	Al Messier Tento článek byl nezajímavou biografií podle kritérií stanovených v WP : BIO .	[0, 0, 0]	NOT
8320	The problem with that map is the border states - one cannot easily tell status of MD & DE	Problém s touto kartou jsou hraniční státy - nelze snadno zjistit stav MD & DE	[0, 0, 1]	NOT
4908	I want to argue the fact that Kaká is a non-EU player. He has got the Italian nationality.	Chci hádat skutečnost , že Kaká je hráčem mimo EU , který má italskou státní příslušnost .	[1, 1, 0]	ERR
9086	I agree with you Bibliomaniac. It's not anime unless someone has colored hair.	Souhlasím s tebou Bibliomaniac , není to anime , pokud nemá někdo barevné vlasy .	[0, 0, 0]	NOT
9179	This is your talk page, Crossmr, but it is not your page. Removing my comments is vandlism.	Tohle je vaše stránka pro rozhovory , Crossmire , ale není to vaše stránka .	[0, 0, 0]	NOT
8552	sharedipusmilitary754th Electronic Systems Group	sharedipusmilitary754 . skupina elektronických systémů	[2, 0, 0]	NOT
3429	Woops realized I forgot to sign, thanks for that ) Thanks for the information, explains loads!	Woops si uvědomil , že jsem zapomněl podepsat , díky za to ) Díky za informace , vysvětluje zátěže !	[0, 1, 0]	NOT
1879	Commentary struck as this user is a confirmed sockpuppet used by to evade blocking.	Komentář zasažený , protože tento uživatel je potvrzená ponožka používaná k tomu , aby se vyhnul blokování .	[1, 1, 1]	ERR
9261	get p!$$ed off when someone expresses hate for Nintendo. I	dostat p ! $ $ ed off , když někdo vyjadřuje nenávist k Nintendo . Já	[1, 0, 1]	ERR
9822	Kanaria is amazed at this ~kashira! —Preceding unsigned comment added by	Kanaria je ohromená tím ~kashira ! —Předchozí nezapsaný komentář přidán	[0, 0, 0]	NOT
8153	It took place on is Feast Day, so it's not a MERE coincidence.	To se stalo v Den svatby , takže to není MERE náhoda .	[1, 1, 1]	ERR
2397	good find. I removed the part about MC Mystic's complaint but added that rolling stone article. I think someone should rephrase everthing now	Dobrá nalezení . Odstranil jsem část o stížnosti MC Mystic , ale dodal , že válcující kámen článek . Myslím , že někdo by měl přeformulovat vše teď	[1, 1, 1]	ERR
8206	and interviews published in Times of India and Malayalam Manorama online and links are updated there. So kindly note that and avoid deletion	a rozhovory zveřejněné v Times of India a Malayalam Manorama on - line a odkazy jsou aktualizovány tam . Takže laskavě všimněte si , že a vyhnout se vymazání	[0, 0, 0]	NOT
5470	Wikipedia's not censored. It doesn't matter if the topic is controversial or not, only if it is a very high quality article.	Nezáleží na tom , jestli je téma kontroverzní nebo ne , jen pokud je velmi kvalitní článek .	[0, 0, 0]	NOT
7840	Also, that it is not mainstream among Russian and Chinese physical anthropologists, indicating a lack of consensus.	Také , že není hlavním proudem mezi ruskými a čínskými fyzikální antropology , což naznačuje nedostatek shody .	[0, 0, 0]	NOT
1289	Wikipedia is not a place to posit various theories of your own. Please include source material citations when posting theories. -	Wikipedie není místem , kde si můžete postavit různé teorie vlastní . Prosím , zahrnujte citace zdrojového materiálu při publikování teorií . -	[0, 0, 0]	NOT
4358	His name was originally Farrokh, changed to Freddie. 'Frederick' doesn't come into it	"Původně se jmenoval Farrokh , přejmenoval se na Freddie . "" Frederick "" do toho nepatří"	[0, 0, 0]	NOT
4698	make the edit, consider creating an account for yourself so you can avoid further irrelevant notices.''	upravit , zvážit vytvoření účtu pro sebe , abyste se mohli vyhnout dalším nezávislým oznámením . ' '	[0, 1, 1]	ERR
4996	ESPN are better enough for you? Look there and see bitch I did fucking good thing for Wikipedia and that's what i get.... Asshole	Podívej se tam a uvidíš děvku , co jsem udělala kurva dobrou věc pro Wikipedii a to je to , co dostanu . . . .	[1, 0, 1]	ERR
9115	Articles are no place for sandbox activity. Use or something. ¦	Články nejsou místo pro aktivitu sandboxu . Použití nebo něco . ¦	[0, 0, 0]	NOT
891	He is not gay in Rugrats, but on the internet, he is.	V Rugratsu není gay , ale na internetu je .	[1, 0, 0]	NOT
2361	nobody cares brittanica, here is wikipedia, here is not depends on ONE source, an stop editing those pages	nikoho nezajímá brittanica , tady je wikipedia , tady není závislé na jednom zdroji , přestat upravovat tyto stránky	[0, 0, 0]	NOT
6537	It's poorly constructed and a lot of info was deleted from it when they switched from TvTome.	Je špatně postavený a hodně informací bylo z něj vymazáno , když přešli z TVTome .	[0, 0, 0]	NOT
6390	One more time, and your computer is blocked from editing.	Ještě jednou , a váš počítač je zablokován od editace .	[0, 0, 0]	NOT
4383	Jimmy Wales is secretly married to Larry Sanger,they have a child named ElKevbo	Jimmy Wales je tajně ženatý s Larrym Sangerem , mají dítě jménem ElKevbo	[0, 0, 0]	NOT
5878	"Great Job! Exactly what i was looking for, I""ll go re-read it and check for other errors =D"	Skvělá práce ! Přesně to , co jsem hledal , půjdu znovu přečíst a zkontrolovat další chyby =D	[0, 0, 0]	NOT
4968	Well the other editors are clearly trying to mislead the public. As you are right now when you are blocking my very well reasoned explanation	No , ostatní redaktori se očividně snaží zmást veřejnost , stejně jako vy právě teď , když blokujete mé velmi rozumné vysvětlení .	[0, 0, 0]	NOT
3257	Thanks for backing me up since I was the one who wrote the original section. I appreciate the support since I am relatively new on wikipedia.	Díky za podporu mě , protože jsem byl ten , kdo napsal původní sekci . Oceňuji podporu , protože jsem relativně nový na wikipedia .	[0, 0, 0]	NOT
8530	she has with the SSDA (which can be validated by 3rd party documentation)	má s SSDA ( která může být ověřena dokumentací třetí strany )	[0, 0, 0]	NOT
9285	the bestest ever thing is that you are not an administrator -	nejlepší věc je , že nejsi správce -	[0, 0, 0]	NOT
1554	Since no-one has disagreed with [User:CdotenCdoten]] I've gone ahead and made the edit.	Vzhledem k tomu , že nikdo nesouhlasil s [ User : CdotenCdoten ] ] , jsem šel dopředu a udělal úpravy .	[1, 0, 0]	NOT
455	covers in the past but never saw this strange behavior before.	obálky v minulosti , ale nikdy předtím neviděl toto zvláštní chování .	[0, 0, 0]	NOT
9572	See edits summary for deleted , and deleted Talk:The Series of star fox.	Viz souhrn úprav pro smazané , a smazané Talk : The Series of star fox .	[0, 0, 0]	NOT
2255	Or go to sleep so you can get eaten by clowns (what kind of gay name is that? Dumbest name i have ever seen)	Nebo jít spát , abyste se mohli sníst klauni ( co je to za gay jméno ? Nejhloupější jméno , co jsem kdy viděl )	[0, 0, 1]	NOT
6728	And why are their no references to most of the text and all of the pictures in the galling article	A proč nejsou jejich odkazy na většinu textu a všechny obrázky v děsivém článku	[0, 0, 0]	NOT
6638	Hi Hiroyuki Yabe, Am surprised there is a Yabe in Japan because am also Yabe.This name is considered Zambian. FROM MUTALE YABE mutaleby@yahoo.com	Ahoj Hiroyuki Yabe , Jsem překvapen , že je Yabe v Japonsku , protože jsem také Yabe . Tento název je považován za Zambian . Z MUTALE YABE mutaleby@yahoo . com	[0, 1, 1]	ERR
9454	you know you just dont want the truth of San Diego coming out. your quite obviously a commie!	Víš , že prostě nechceš , aby se objevila pravda o San Diegu . Tvůj očividně komi !	[0, 0, 1]	NOT
1318	I'm not trying to make a point or anything, except maybe to say that its best to avoid misunderstandings.	Nechci nic naznačit , kromě toho , že možná řeknu , že je nejlepší vyhnout se nedorozuměním .	[1, 0, 0]	NOT
4559	I shouldn't have copied simplistic (and not recommended) examples. Using the template filling utility was a good recommendation. Thanks Zodon.	Neměl jsem kopírovat zjednodušené ( a nedoporučované ) příklady . Použití nástroje pro vyplnění šablony byla dobrá doporučení . Díky Zodon .	[0, 0, 0]	NOT
7163	Is that not a true description on a booger, if not then prove to me what is!	Není to opravdový popis na blbce , pokud ne , pak mi dokázat , co je !	[0, 0, 0]	NOT
7997	All those stupid little blocks will not stop me, I am very patient, I will keep coming back over and over again.	Všechny ty hloupé malé bloky mě nezastaví , jsem velmi trpělivý , budu se vracet znovu a znovu .	[0, 0, 0]	NOT
3254	It has been confirmed that Raul has joined FC Schalke 04. here is the link: [URL]	Bylo potvrzeno , že Raul přistoupil k FC Schalke 04 . Zde je odkaz : [ URL ]	[0, 0, 0]	NOT
6322	Ok I agree with you Miguel.mateo they will have to be separated I will separate them after I sleep	Dobře , souhlasím s vámi Miguel . mateo budou muset být odděleni . Oddělím je , až budu spát .	[0, 0, 0]	NOT
5347	The US did not fight at 2nd battle of El Alamein!	Spojené státy se ve 2 . bitvě u El Alameinu nepoháněly !	[0, 1, 1]	ERR
7875	Continue then at [URL] although not my page.Dodona	Pokračujte tedy na [ URL ] , i když ne na mé stránce . Dodona	[0, 0, 0]	NOT
3000	I've moved your article on Manifest Ltd to your user space for the same reason: .	Přesunul jsem váš článek na Manifest Ltd do vašeho uživatelského prostoru ze stejného důvodu : .	[0, 0, 0]	NOT
6108	I am really shocked that this article was not written by the herself. Whether I'm right, or whether the article is just bad, is to be seen.	Jsem opravdu šokován , že tento článek nebyl napsán sama . Jestli mám pravdu , nebo jestli článek je jen špatný , je vidět .	[0, 1, 1]	ERR
